stable_gene_id,KO_E12_FCL_1,KO_E12_FCL_2,KO_E12_FCL_3,S200A_3_FCL_1,S200A_3_FCL_2,S200A_3_FCL_3,S200A_5_FCL_1,S200A_5_FCL_2,S200WT_1_FCL_1,S200WT_1_FCL_2,S200WT_2_FCL_3
ENSMUSG00000000001,742,766,422,172,347,1057,340,671,1,23,228
ENSMUSG00000000003,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000028,310,252,192,82,241,393,191,242,3,12,94
ENSMUSG00000000031,0,0,0,21,23,14,0,0,0,0,0
ENSMUSG00000000037,2,3,2,13,9,16,11,5,1,1,12
ENSMUSG00000000049,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000056,44,38,29,69,76,71,156,94,2,16,156
ENSMUSG00000000058,0,0,0,0,0,0,2,0,0,0,8
ENSMUSG00000000078,954,709,697,458,754,970,840,546,21,46,384
ENSMUSG00000000085,175,203,141,149,239,241,283,102,5,14,155
ENSMUSG00000000088,4000,3191,2554,2414,4641,5164,3844,2973,51,216,2165
ENSMUSG00000000093,0,1,0,2,0,1,4,1,0,0,5
ENSMUSG00000000094,0,0,0,1,5,0,4,0,0,0,1
ENSMUSG00000000103,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000120,263,231,180,378,571,402,328,101,41,97,813
ENSMUSG00000000125,0,0,0,2,0,2,8,0,0,0,8
ENSMUSG00000000126,6,1,1,0,1,0,3,1,0,0,9
ENSMUSG00000000127,355,339,304,137,402,393,221,259,4,13,175
ENSMUSG00000000131,361,276,283,208,452,490,479,415,5,36,252
ENSMUSG00000000134,538,562,401,565,740,686,839,275,34,71,276
ENSMUSG00000000142,115,116,71,42,102,191,53,91,0,7,60
ENSMUSG00000000148,67,78,39,12,32,101,22,80,0,2,21
ENSMUSG00000000149,85,91,49,42,79,164,65,79,0,6,50
ENSMUSG00000000154,21,18,18,8,22,28,103,34,0,7,48
ENSMUSG00000000157,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000159,0,0,0,0,1,0,5,0,0,1,7
ENSMUSG00000000167,7,4,5,0,8,3,7,6,0,3,10
ENSMUSG00000000168,582,488,357,175,497,654,372,410,10,23,237
ENSMUSG00000000171,461,569,92,13,15,788,13,317,0,0,15
ENSMUSG00000000182,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000183,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000184,98,59,79,267,328,210,425,152,56,89,725
ENSMUSG00000000194,474,342,338,569,651,514,690,247,37,76,375
ENSMUSG00000000197,0,1,1,4,0,0,5,3,0,0,0
ENSMUSG00000000202,0,0,0,3,11,3,25,3,6,12,110
ENSMUSG00000000204,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000214,0,0,0,0,0,0,1,0,0,0,4
ENSMUSG00000000215,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000216,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000223,0,0,1,1,0,1,1,4,1,0,11
ENSMUSG00000000244,9,4,3,8,8,7,8,4,1,0,2
ENSMUSG00000000247,5,2,7,2,4,10,13,9,0,0,6
ENSMUSG00000000248,0,0,1,0,0,0,6,0,0,0,0
ENSMUSG00000000253,103,96,74,97,127,122,192,95,13,39,226
ENSMUSG00000000263,0,0,0,0,0,0,1,0,1,1,2
ENSMUSG00000000266,0,0,0,0,1,1,0,0,0,0,1
ENSMUSG00000000275,642,569,435,538,746,782,761,442,36,87,526
ENSMUSG00000000276,64,49,40,63,78,72,97,39,8,12,100
ENSMUSG00000000278,855,864,566,689,1036,1192,1167,679,63,99,607
ENSMUSG00000000282,298,280,236,159,256,291,241,168,8,19,102
ENSMUSG00000000290,0,0,0,0,0,1,0,0,0,0,0
ENSMUSG00000000295,256,244,168,133,346,530,326,348,12,18,273
ENSMUSG00000000296,195,168,93,48,119,167,197,113,0,18,172
ENSMUSG00000000301,68,64,49,75,96,62,119,49,10,8,115
ENSMUSG00000000303,6377,5642,4674,5671,9677,7843,10651,4155,162,873,7016
ENSMUSG00000000305,38,33,29,19,68,47,43,17,0,2,14
ENSMUSG00000000308,21,23,16,6,5,15,27,9,2,2,28
ENSMUSG00000000317,30,24,22,9,9,16,46,20,0,3,21
ENSMUSG00000000318,1,0,0,1,0,2,0,1,0,0,0
ENSMUSG00000000320,1,3,1,3,7,6,7,3,0,1,11
ENSMUSG00000000325,50,70,39,27,43,63,70,47,1,6,50
ENSMUSG00000000326,360,333,262,146,449,497,436,435,17,40,606
ENSMUSG00000000339,543,419,320,497,867,626,842,469,14,56,412
ENSMUSG00000000340,509,403,306,219,399,534,447,365,19,57,469
ENSMUSG00000000346,352,269,247,232,419,409,382,311,7,21,231
ENSMUSG00000000355,654,509,373,424,578,772,609,504,10,66,309
ENSMUSG00000000359,0,0,0,0,0,0,5,0,0,0,2
ENSMUSG00000000365,150,179,100,93,158,214,206,179,5,11,93
ENSMUSG00000000374,125,103,98,58,147,74,164,109,12,14,98
ENSMUSG00000000378,127,99,84,109,83,122,144,62,17,26,134
ENSMUSG00000000381,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000384,972,760,705,1172,1284,1113,1799,535,68,144,522
ENSMUSG00000000385,2,1,0,0,0,1,2,0,0,0,21
ENSMUSG00000000386,2,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000392,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000394,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000399,1364,973,962,1121,1826,1577,2162,1012,48,148,1298
ENSMUSG00000000402,51,39,43,80,114,132,71,59,1,1,3
ENSMUSG00000000409,533,390,309,434,424,397,355,173,21,23,124
ENSMUSG00000000411,0,0,0,0,0,0,0,1,0,0,1
ENSMUSG00000000416,28,25,23,18,41,20,20,6,6,3,13
ENSMUSG00000000420,885,794,678,830,1225,906,1629,725,92,203,1427
ENSMUSG00000000435,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000439,282,262,186,173,288,349,281,188,7,27,115
ENSMUSG00000000440,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000441,539,543,289,58,273,779,160,395,2,8,153
ENSMUSG00000000486,298,321,256,521,605,444,685,189,31,48,165
ENSMUSG00000000489,5,3,2,0,0,4,1,3,1,1,1
ENSMUSG00000000530,0,0,0,0,2,0,4,0,0,0,11
ENSMUSG00000000531,69,53,43,31,62,55,67,53,6,11,83
ENSMUSG00000000532,81,64,45,15,61,110,39,71,3,1,53
ENSMUSG00000000538,34,25,43,72,75,60,109,48,1,9,108
ENSMUSG00000000544,19,5,10,5,38,40,18,6,0,0,1
ENSMUSG00000000552,43,69,44,77,63,106,124,27,14,23,119
ENSMUSG00000000555,5,7,4,8,9,5,10,8,0,2,30
ENSMUSG00000000560,0,2,1,0,4,0,2,0,0,0,2
ENSMUSG00000000561,2691,2095,1778,988,2097,3340,1640,1985,30,119,891
ENSMUSG00000000562,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000563,3400,2576,2000,1047,2943,3967,2538,2703,30,126,1857
ENSMUSG00000000567,1,1,1,9,3,6,3,1,0,0,9
ENSMUSG00000000568,3597,3310,2735,3086,4397,4506,5414,2645,89,392,2635
ENSMUSG00000000579,1541,1635,1044,694,1807,2431,1373,1518,0,53,1153
ENSMUSG00000000581,330,263,204,173,348,410,329,240,5,10,194
ENSMUSG00000000594,77,62,51,108,149,103,254,104,4,11,129
ENSMUSG00000000600,303,279,207,109,333,284,298,212,3,20,192
ENSMUSG00000000605,60,30,32,18,55,41,81,50,3,9,86
ENSMUSG00000000606,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000617,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000627,42,17,25,54,60,70,90,62,4,6,49
ENSMUSG00000000628,5924,4892,4117,4967,8183,7279,9406,4668,226,729,5792
ENSMUSG00000000631,118,125,118,245,217,140,432,138,49,87,427
ENSMUSG00000000632,1,2,1,1,1,1,1,1,0,2,0
ENSMUSG00000000673,0,1,0,0,0,0,0,0,0,0,7
ENSMUSG00000000682,0,0,0,0,2,1,0,0,0,0,1
ENSMUSG00000000686,1,2,1,4,0,0,2,0,0,0,2
ENSMUSG00000000690,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000693,6,2,4,0,8,12,21,10,0,5,31
ENSMUSG00000000701,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000706,0,0,0,0,3,0,0,0,0,0,5
ENSMUSG00000000708,554,609,358,156,457,703,336,421,9,30,140
ENSMUSG00000000711,215,115,132,109,314,254,209,239,1,20,236
ENSMUSG00000000724,0,0,0,0,0,0,0,0,0,0,0
