"","KO_E12_FCL_1","KO_E12_FCL_2","KO_E12_FCL_3","S200A_3_FCL_1","S200A_3_FCL_2","S200A_3_FCL_3","S200A_5_FCL_1","S200A_5_FCL_2","S200WT_1_FCL_1","S200WT_1_FCL_2","S200WT_2_FCL_3"
"ENSMUSG00000000001",426.745387423088,517.178724198811,328.76296254911,131.005427976212,163.505123432903,533.717934551482,142.662046890941,513.958322269621,13.7867342140993,118.708989423724,158.721199849716
"ENSMUSG00000000028",178.289851888352,170.142347908747,149.579357368316,62.4560761281942,113.55831339288,198.44006459672,80.142502812264,185.362017867732,41.3602026422978,61.9351249167257,65.4376876573391
"ENSMUSG00000000056",25.3056563970564,25.6563857957635,22.5927154358393,52.5545030834805,35.8109204060536,35.8504951307051,65.4567038676083,72.0001226428381,27.5734684281985,82.5801665556343,108.598715686648
"ENSMUSG00000000078",548.672640972541,478.694145505166,543.004229613104,348.840034959914,355.282026133742,489.78845460259,352.459174671737,418.213478329676,289.521418496085,237.417978847449,267.319915536364
"ENSMUSG00000000085",100.647497033747,137.059113593158,109.847340567357,113.487260281719,112.615920750616,122.194645375079,118.74517432393,78.893751406514,68.9336710704963,72.25764573618,107.902570073272
"ENSMUSG00000000088",2300.51421791422,2154.46123879688,1989.71707665978,1838.64594845684,2186.82212637493,2607.99728662101,1612.92031837876,2277.19536826763,703.123444919063,1114.83224850106,1507.15525295893
"ENSMUSG00000000120",151.25880982786,156.638986963609,140.230647532796,287.907277761676,269.053099366534,202.98449355695,138.046510079764,77.3618339034749,579.042836992169,500.642259743533,566.662529288022
"ENSMUSG00000000127",204.170636839887,228.881968020101,237.613041652793,104.347346701983,189.420921095178,198.44006459672,93.1499247346734,198.383316643564,55.1469368563971,67.0963853264529,121.825482340791
"ENSMUSG00000000131",207.621408166758,187.021549090171,220.473740287674,159.186828180398,212.980737151792,247.418910056979,200.985648414002,317.872881880615,68.9336710704963,185.805374750177,175.428694570739
"ENSMUSG00000000134",309.419162309462,379.444442558397,312.402720336951,431.099257177536,348.68527763789,346.38647407977,352.039580416176,210.638656667877,468.748963279375,366.449489090627,192.136189291762
