"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"LIN28A_transgene",3627.40574643592,9.77706224276853,0.717409830518025,1.16105905311429e-43,1.58124632443635e-39
"ENSMUSG00000055322",125.250940648862,4.24712260199742,0.415157193468355,7.61271539597958e-26,5.1838785488923e-22
"ENSMUSG00000021359",99.1166844567944,5.01732743085642,0.529723262227043,1.53663612666223e-22,6.97581580300432e-19
"ENSMUSG00000097312",214.665842374284,-2.80431446233035,0.30089874892989,8.79836197655866e-22,2.99562229396881e-18
"ENSMUSG00000031785",258.278694040089,6.23062290529584,0.679372870608979,4.66458563865909e-21,1.27053983625796e-17
"ENSMUSG00000061186",691.134176550736,-1.74902386290968,0.215646192497216,3.44702895850515e-17,7.82418123098027e-14
"ENSMUSG00000051243",62.5064064538146,-1.91476028124195,0.238614154923436,7.21806871824424e-17,1.40432682676812e-13
"ENSMUSG00000046733",470.707253631225,2.77925345934418,0.353071268410952,1.14381278009361e-16,1.94719828151185e-13
"ENSMUSG00000061048",143.017162676547,4.81527782655906,0.630750852783273,6.78153632151261e-16,1.026197146252e-12
"ENSMUSG00000029769",189.476124641769,2.41019015075274,0.324331761242283,3.60840926340745e-15,4.9142925758346e-12
"ENSMUSG00000001663",76.0158543177861,4.13172550404,0.559364312512825,1.59137004824514e-14,1.97026078973187e-11
"ENSMUSG00000027985",165.703799552354,2.71197513571299,0.377098203450758,2.039667164518e-14,2.31485225946421e-11
"ENSMUSG00000024033",96.6681783033182,2.36477979936583,0.341322966646764,1.79981879045684e-13,1.88551785440244e-10
"ENSMUSG00000036402",73.1056655328923,2.30253342418042,0.338498927839691,3.50748026563465e-13,3.41202669554845e-10
"ENSMUSG00000033585",47.3121762231259,2.03836223792973,0.301275310133369,6.33348401171995e-13,5.75038125037427e-10
"ENSMUSG00000028082",58.911811232144,1.82015621036416,0.272637342687241,1.3241766149643e-12,1.12712258244992e-09
"ENSMUSG00000032291",87.1288857464541,1.93068826619471,0.292932418567839,1.80725581038614e-12,1.44782452244993e-09
"ENSMUSG00000050931",49.2521490549063,-2.13190864963125,0.346036357327989,4.25142774236235e-11,3.21667746795738e-08
"ENSMUSG00000027210",69.3973260890353,2.74860077510576,0.455073757767098,4.8897321474743e-11,3.32966310582262e-08
"ENSMUSG00000054889",71.5985260661765,3.66995125010855,0.586470215724444,4.72128563548597e-11,3.32966310582262e-08
"ENSMUSG00000033542",80.1423133065986,2.34055010762673,0.39044336380562,7.03293003272397e-11,4.56102257693656e-08
"ENSMUSG00000030041",253.065163756644,1.53758624519345,0.258678716511444,1.12716532553629e-10,6.97766571294489e-08
"ENSMUSG00000116875",348.489636571474,0.00746407515000506,0.194786535397423,3.63943521243546e-10,2.15502035470255e-07
"ENSMUSG00000037860",338.266022685248,1.33227035856508,0.232761846093273,4.62126157019248e-10,2.62237338851881e-07
"ENSMUSG00000002107",83.1725339558158,1.74493125717159,0.306411134387313,5.8535173225063e-10,3.06797959132678e-07
"ENSMUSG00000019124",100.946862640893,1.6400705245102,0.288061616898681,5.85707242635262e-10,3.06797959132678e-07
"ENSMUSG00000031751",81.015739602442,1.35486675363875,0.240431243234035,9.02706804199769e-10,4.55331998755431e-07
"ENSMUSG00000004032",280.810629910095,1.24112102512493,0.223655737641778,1.39330639032469e-09,6.77694276065425e-07
"ENSMUSG00000028530",332.851591272281,1.1937378057974,0.217532617373091,1.91713207180296e-09,9.00324885720154e-07
"ENSMUSG00000097420",16.1522816054218,-3.06609600202102,0.556193116421769,2.40011168899139e-09,1.08957070307912e-06
"ENSMUSG00000032228",202.120680318814,0.975266475643386,0.178970043177456,2.78929569242572e-09,1.2254005817789e-06
"ENSMUSG00000035158",165.513343097318,-1.1646542778462,0.2136158879965,3.24660967852724e-09,1.3817367878707e-06
"ENSMUSG00000025880",67.1009432686258,1.54704746510679,0.289233540551502,3.88896065414858e-09,1.60496227723786e-06
"ENSMUSG00000042046",29.4811678509767,2.10564899136115,0.396068450878522,5.05058002547689e-09,2.02305439314617e-06
"ENSMUSG00000021464",51.3150071853316,1.57421410006127,0.298724885965267,6.70368105899219e-09,2.60849806692613e-06
"ENSMUSG00000024349",113.983796217877,1.74886701881587,0.338684716297854,1.12193680046312e-08,4.24434924597424e-06
"ENSMUSG00000034825",181.972089128149,2.32039885195622,0.455165264626843,1.17075104880889e-08,4.30931311722386e-06
"ENSMUSG00000033268",14.8409897166816,5.12510651946262,0.933312282481482,1.46290387523062e-08,5.24297049388573e-06
"ENSMUSG00000022037",141.343956392213,1.28781461656638,0.253046929140401,1.78749869989638e-08,6.24203712663817e-06
"ENSMUSG00000040363",64.5315259460101,1.55577838499237,0.308535383192841,1.97322440340584e-08,6.55447393902052e-06
"ENSMUSG00000002885",70.1554074327998,3.35242040232081,0.663525131289419,1.92577587607694e-08,6.55447393902052e-06
"ENSMUSG00000034777",20.2740582519692,3.39042616073553,0.669163754780133,2.13815219248216e-08,6.93321302605109e-06
"ENSMUSG00000075394",11.9749253166446,2.87614556843179,0.566316450552708,2.50805636713161e-08,7.94353945673613e-06
"ENSMUSG00000023827",363.725486199711,1.33192201292784,0.267595086632285,2.73223499334941e-08,8.45688826691492e-06
"ENSMUSG00000037499",42.3735408994294,1.98824151089545,0.402169392279741,3.40094792358267e-08,1.02927799491716e-05
"ENSMUSG00000022816",112.067424576431,1.01799740654539,0.205857894703958,4.19377789712559e-08,1.21521406767986e-05
"ENSMUSG00000038059",149.584363567674,-1.11749619977278,0.224834481102816,4.18180258779363e-08,1.21521406767986e-05
"ENSMUSG00000067702",135.217393304758,1.5147126543093,0.31132458266713,4.37502887640893e-08,1.24132329724611e-05
"ENSMUSG00000031434",33.7989786528305,1.99950932760966,0.405956363914708,4.66339902734007e-08,1.29613941537438e-05
"ENSMUSG00000021969",219.349334944006,0.990102390318803,0.204660648635602,6.82598257498697e-08,1.8477977525863e-05
"ENSMUSG00000063672",82.2952512019478,-1.38227957937648,0.283813883005499,6.919574519561e-08,1.8477977525863e-05
"ENSMUSG00000040446",175.327929463521,1.24599118962488,0.260126026815862,7.45545015528339e-08,1.95261107047701e-05
"ENSMUSG00000092329",36.1981194148953,0.00710311065730044,0.194763686485117,8.93171162389791e-08,2.29511284162011e-05
"ENSMUSG00000000184",241.184970886248,1.41714253281961,0.300163649572893,9.30799308256117e-08,2.30482832348001e-05
"ENSMUSG00000061331",569.516616246252,-1.51647750076058,0.315434764042088,9.23792509649235e-08,2.30482832348001e-05
"ENSMUSG00000051343",20.2978195168391,2.59167066893388,0.549974505453048,1.09394738249465e-07,2.66044096467761e-05
"ENSMUSG00000026837",44.8338603558008,1.74241515508423,0.370293243317936,1.22144416552699e-07,2.91839440180915e-05
"ENSMUSG00000062380",371.278912963138,-1.46597184493523,0.309014020394561,1.29122581120738e-07,3.03193177979885e-05
"ENSMUSG00000071855",172.828066019154,1.05219904463009,0.225103879729732,1.44109291546457e-07,3.32648210435796e-05
"ENSMUSG00000063235",109.800200605321,1.09003860158971,0.233927919242683,1.55459262951625e-07,3.52866617023029e-05
"ENSMUSG00000026701",479.133226904968,-0.785535089871731,0.166755318055169,1.94285825398e-07,4.33766992802519e-05
"ENSMUSG00000030067",266.857632311682,-0.993119009589993,0.213322997374226,2.20731456589177e-07,4.78623876446786e-05
"ENSMUSG00000032601",459.351652884549,0.856577731252447,0.185364625963943,2.2140615475547e-07,4.78623876446786e-05
"ENSMUSG00000001270",334.437600614768,-1.10042579403556,0.23809811840954,2.43038702827348e-07,5.17178764657134e-05
"ENSMUSG00000029426",183.148593630498,-0.952353046194244,0.205747516644488,2.52832610020149e-07,5.2974266397914e-05
"ENSMUSG00000042312",53.3670120981299,1.85139855961364,0.410034568848138,2.9050739813179e-07,5.99457614417705e-05
"ENSMUSG00000044017",23.1765666396064,-1.85851979933467,0.412399446141923,3.78438849442513e-07,7.69247565754864e-05
"ENSMUSG00000046338",32.7716821858965,2.07416598017229,0.471458743197146,3.84825552041598e-07,7.70726351949195e-05
"ENSMUSG00000021774",146.711142006224,0.874273585940007,0.196276820685694,4.87653917223811e-07,9.51151191058854e-05
"ENSMUSG00000032549",124.474292748611,-1.10524385664164,0.247209680592301,4.95864120458027e-07,9.51151191058854e-05
"ENSMUSG00000041926",39.32180669101,1.83487928316555,0.418805530217546,4.89764342094648e-07,9.51151191058854e-05
"ENSMUSG00000056268",54.9031155740054,1.28708143926684,0.294802044649758,5.64016856250484e-07,0.000106663818712087
"ENSMUSG00000066456",61.8307247331964,1.39268702169299,0.319360677765018,5.79566971487952e-07,0.000106663818712087
"ENSMUSG00000073481",484.731708520579,1.52576106275393,0.354323874763317,5.77975334392429e-07,0.000106663818712087
"ENSMUSG00000092060",64.997474159127,1.45706117115921,0.336559876157874,6.15598282272028e-07,0.000111784440083503
"ENSMUSG00000006519",145.058086086408,1.42767723830063,0.330467101458401,6.2538590220934e-07,0.00011206750792354
"ENSMUSG00000095180",2297.0515816513,-0.846965182376075,0.191313269240783,6.34333517775133e-07,0.000112194651669864
"ENSMUSG00000062526",27.1407773910309,1.73288498750028,0.399076524528897,6.6168255955239e-07,0.000115531471519795
"ENSMUSG00000009596",105.669907676203,2.04740191810863,0.481794883025417,7.56319709556757e-07,0.000130383773727259
"ENSMUSG00000025813",52.6213035362159,1.52031147868623,0.35701268109451,8.37815681813428e-07,0.000142627647132714
"ENSMUSG00000030319",76.8356697552015,1.18279361433715,0.276776083248256,8.98108078563727e-07,0.000151004122493326
"ENSMUSG00000037400",165.801970534983,0.854426749244641,0.197721585472024,9.28828831908116e-07,0.000154264876362886
"ENSMUSG00000042155",18.7190187838688,1.83582682479639,0.432100697785094,1.18433120305744e-06,0.000194330200655895
"ENSMUSG00000029151",55.9474527700065,1.25850356132863,0.299239622839184,1.2002153207169e-06,0.000194592053010042
"ENSMUSG00000039959",190.35228061932,1.03987748353703,0.247181438447553,1.25395062703824e-06,0.000200912395172163
"ENSMUSG00000027315",175.079679186122,1.0309844903372,0.245587635709592,1.31073795529273e-06,0.000205183220840595
"ENSMUSG00000039831",128.07894329646,0.933795307697796,0.220783946482416,1.29682252039171e-06,0.000205183220840595
"ENSMUSG00000033361",17.0272061711369,2.17364968820093,0.522785432356773,1.48018190261653e-06,0.000229074969678801
"ENSMUSG00000036880",77.7200145265357,1.14826327079841,0.277912784260525,1.68870819464173e-06,0.000258410302278941
"ENSMUSG00000030541",229.156794991547,1.04250669695421,0.252620735997486,1.70904764040139e-06,0.000258616886829184
"ENSMUSG00000037852",295.611284745771,1.08347226292763,0.264810405058836,1.93553153168562e-06,0.000289670372857433
"ENSMUSG00000029475",402.453806562103,0.818833488893864,0.197715179700786,2.0110235019697e-06,0.000297697055144841
"ENSMUSG00000022054",354.052454254721,2.41483741569794,0.617482552933509,2.08362268239145e-06,0.000305127497973002
"ENSMUSG00000020186",664.111669825966,-0.631413427951044,0.149775822716209,2.13719042958949e-06,0.000309642515538077
"ENSMUSG00000048277",259.819213384779,0.663385719697725,0.158388059279805,2.17283140245932e-06,0.000311492535474667
"ENSMUSG00000072825",121.94993630614,1.23536461260409,0.306092260420393,2.23683044286153e-06,0.000317327018763866
"ENSMUSG00000025791",94.1043296231914,1.12380409703645,0.2771669681948,2.39261590626244e-06,0.00033592820646792
"ENSMUSG00000029761",145.386446448425,1.00527966815952,0.247603970343749,2.42954593859234e-06,0.000337632511609072
"ENSMUSG00000030246",385.477255636497,0.950842998786281,0.236899458205344,2.92362712023357e-06,0.000402190684348091
"ENSMUSG00000020100",218.120476510088,1.75028437413576,0.450908763107614,3.172268066349e-06,0.000419447755297155
"ENSMUSG00000035885",3087.34822150535,0.488095192415584,0.116212097479803,3.11769178779301e-06,0.000419447755297155
"ENSMUSG00000040721",125.815115648138,0.721326987786075,0.176518102974828,3.12497220333951e-06,0.000419447755297155
"ENSMUSG00000050732",83.8552937194994,1.19549619432712,0.301228625029567,3.16757437605038e-06,0.000419447755297155
"ENSMUSG00000056214",126.421864903419,0.813251282878231,0.202638471425527,3.57409541156377e-06,0.000464730528428913
"ENSMUSG00000113921",36.0305773965961,-1.36333453343008,0.341460564774925,3.58298740619986e-06,0.000464730528428913
