"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSMUSG00000033577",174.121971379876,3.05217208900225,0.421065127783087,2.14623253930699e-14,4.36261805265998e-12
"ENSMUSG00000031434",33.7989786528305,3.35104261630392,0.453463994403842,2.41845411921241e-14,4.84366568375791e-12
"ENSMUSG00000025757",156.329983399498,2.69540303339503,0.365738543839299,2.86390220638241e-14,5.65267886213363e-12
"ENSMUSG00000033306",165.76513422316,2.3389170642991,0.320701093794961,3.15529137675789e-14,6.13884475143797e-12
"ENSMUSG00000045005",215.071147813328,-2.8919644814717,0.405096795654785,3.46216263339228e-14,6.6410130850943e-12
"ENSMUSG00000033542",80.1423133065986,3.20129140382831,0.443891814539245,3.83286401961401e-14,7.24996876154489e-12
"ENSMUSG00000030352",67.6942109775968,3.00370863609338,0.413651147655192,3.96151842539363e-14,7.39067389526518e-12
"ENSMUSG00000018339",158.77315013233,2.66436011387241,0.37491375948045,4.82921306340352e-14,8.88770982574224e-12
"ENSMUSG00000021969",219.349334944006,1.72973069983254,0.236269457090018,5.00699090534911e-14,9.09202788532661e-12
"ENSMUSG00000019528",33.5821619043228,4.0733363775622,0.573059326767203,5.25158521341298e-14,9.41070250282518e-12
"ENSMUSG00000018909",30.6833142106637,4.0440295183002,0.565966448237541,5.34202741373531e-14,9.44845082437159e-12
"ENSMUSG00000030589",51.970662338795,2.78875349291887,0.387798891882904,6.27078704815639e-14,1.09489549754926e-11
"ENSMUSG00000056737",104.771683710949,1.87310823728773,0.258721720418616,7.93136464236321e-14,1.36730702613094e-11
"ENSMUSG00000055373",155.242828278884,-2.30837263546466,0.321541375193721,9.90533851602555e-14,1.6862600656219e-11
"ENSMUSG00000032020",59.89534195226,4.46019738929205,0.625694159350952,1.08766630804295e-13,1.82875647521444e-11
"ENSMUSG00000031297",637.562408052243,-3.51343334168334,0.494032696294193,1.14648837508276e-13,1.90414941222587e-11
"ENSMUSG00000040446",175.327929463521,2.10577969868313,0.29758666785635,1.42547911786426e-13,2.33898796460162e-11
"ENSMUSG00000066456",61.8307247331964,2.57106017544406,0.359124803397602,1.76031598349591e-13,2.85401706895604e-11
"ENSMUSG00000047534",540.316584343057,-1.41667346226494,0.198915666405946,2.13564245479574e-13,3.42180171668979e-11
"ENSMUSG00000029086",91.1547313604231,2.97638151858045,0.4323864170018,2.30433949942605e-13,3.64916274914923e-11
"ENSMUSG00000041556",138.196252577754,2.63649616827537,0.380998300046609,2.54617985493538e-13,3.98579579820287e-11
"ENSMUSG00000030587",183.088164349572,2.40210611897463,0.346951944184402,3.34781430336007e-13,5.18112306789328e-11
"ENSMUSG00000044033",376.246028122096,-1.91456050155786,0.274618973442355,3.40787704306977e-13,5.21481769096261e-11
"ENSMUSG00000030339",59.9594614572581,3.70609571477142,0.535756590971608,5.47952746881658e-13,8.29174273309033e-11
"ENSMUSG00000036959",76.7689423086545,2.23699500978551,0.3285232712023,6.49898424845564e-13,9.72633697579312e-11
"ENSMUSG00000002265",760.924316236916,-2.13190027368362,0.318157326972492,7.17001834799749e-13,1.06139652044976e-10
"ENSMUSG00000020978",384.107187137922,1.82671734026096,0.265476494979145,7.80992635912268e-13,1.13152539452012e-10
"ENSMUSG00000037852",295.611284745771,2.01201625135311,0.292693764828335,7.73689647063866e-13,1.13152539452012e-10
"ENSMUSG00000022382",36.154806330316,7.3450237451274,1.03676244393283,8.75138567819998e-13,1.2545802268569e-10
"ENSMUSG00000027702",145.737215974911,-2.8204616638924,0.418528321395204,9.60347073675731e-13,1.36239237462394e-10
"ENSMUSG00000022629",53.1080654846214,2.94861348585368,0.435422966660988,1.03201253878679e-12,1.4489668830657e-10
"ENSMUSG00000024486",153.029520993956,2.24242150734413,0.331850541277154,1.4676191616902e-12,2.03954136357743e-10
"ENSMUSG00000040511",130.436534797913,1.71081476867437,0.25019406374663,1.51568098228717e-12,2.08505649472414e-10
"ENSMUSG00000025161",158.861179822487,3.05017826403959,0.45721864675839,1.69966248791929e-12,2.31477034229729e-10
"ENSMUSG00000043279",50.7356927192788,3.79431872436255,0.567370335592813,2.00126337368098e-12,2.6985352362536e-10
"ENSMUSG00000019989",100.502042059193,-6.89928873908447,1.1871845072148,2.13037554735543e-12,2.84446907641506e-10
"ENSMUSG00000029552",247.82560561626,1.56269526758656,0.232697117789504,2.16189943256632e-12,2.85853479340978e-10
"ENSMUSG00000025650",17.0793844237678,4.22993548272674,0.630082105802713,2.5539631951546e-12,3.34446391873177e-10
"ENSMUSG00000028019",75.0290498115081,-3.19751704692527,0.494319068940072,2.64367594899795e-12,3.42897359518125e-10
"ENSMUSG00000027624",25.0060682432414,5.81324902012574,0.871368485556832,2.73345176472769e-12,3.5119697720591e-10
"ENSMUSG00000046223",129.433188197355,1.96974350707515,0.296076507130115,3.11808153684187e-12,3.96870583647192e-10
"ENSMUSG00000026473",1125.04248205633,-1.94865359896903,0.290803723726355,3.24082483677733e-12,4.08674013445097e-10
"ENSMUSG00000052889",25.1010212532566,6.77248561329676,0.974454795730319,3.48402502376215e-12,4.353113467763e-10
"ENSMUSG00000005370",1219.43529996932,-1.5318479117396,0.228100967731561,3.65851779501189e-12,4.52957762275154e-10
"ENSMUSG00000036985",105.011145227203,3.01861418179867,0.467411959069854,4.41518583878139e-12,5.41715458904178e-10
"ENSMUSG00000022095",363.74450391903,1.88831965418059,0.286733213747064,4.61487000783574e-12,5.61159952113527e-10
"ENSMUSG00000058252",17.7247594715269,4.98228537751955,0.738825868862241,4.66018038989562e-12,5.61654838318482e-10
"ENSMUSG00000026833",34.2550314841328,3.39473624854562,0.517658990412758,5.60221497463508e-12,6.69268120522413e-10
"ENSMUSG00000002897",100.495620477256,2.43023005793982,0.374637362194351,6.12256900000415e-12,7.25071888791796e-10
"ENSMUSG00000027966",36.9583243418376,3.28972082891292,0.497239259342921,6.18559256641395e-12,7.26220561741307e-10
